,name,time,tweet,Source,Likes,RTs,Localization
162,André Ribeiro,2022-11-11 00:36:30+00:00,@ciro_nogueira O Amor venceu / Eu https://t.co/2a1deezEvH,Twitter for Android,0,0,"Campo Grande, Brasil"
163,Sergio S,2022-11-11 00:36:17+00:00,@ciro_nogueira Que vc abasteca seu jatinho com dinheiro publico?,Twitter for iPhone,0,0,"São José dos Pinhais, Brasil"
164,Syl 🇧🇷,2022-11-11 00:36:16+00:00,@ciro_nogueira Realmente https://t.co/kPCVSkRS2l,Twitter for Android,0,0,Belo Horizonte
165,Wesleitrd🇧🇷🇮🇱,2022-11-11 00:36:16+00:00,@ciro_nogueira Vem novidades do Cabeça?🥚🥚,Twitter for Android,0,0,"Cariacica, Brasil"
166,Cosme moreira,2022-11-11 00:36:15+00:00,@ciro_nogueira Tomara que seja um inacreditável bom pra nós,Twitter Web App,0,0,São paulo
167,Marlos,2022-11-11 00:36:14+00:00,"@ciro_nogueira INACREDITÁVEL mesmo! 
Não conforme até agora do Tite ter convocado o Daniel Alves.",Twitter for Android,0,0,
168,Ogaiht Rasec #B22 🇧🇷🏁,2022-11-11 00:36:10+00:00,@ciro_nogueira Fala cara,Twitter for Android,0,0,
169,Magna,2022-11-11 00:36:10+00:00,"@ciro_nogueira Homi, deixa de mentir... 🤪🤪",Twitter for iPhone,0,0,Picos-PI
170,Lucjo,2022-11-11 00:36:09+00:00,@Joedestra @ciro_nogueira E eu também!,Twitter for Android,1,0,
171,Renan Araujo,2022-11-11 00:36:07+00:00,@ciro_nogueira E não é que Ciro Nogueira virou animador de gado? Que fim de carreira triste!,Twitter for iPhone,0,0,
172,Tiago Lazarine,2022-11-11 00:36:06+00:00,"@reinaldoazevedo Vc está igual o Ciro, vc falou bem ou mal do Lula??",Twitter for Android,0,0,
173,Respondo com Foto ou Video,2022-11-11 00:36:04+00:00,"@drviniciussp @meirelles Ciro profeta...

""Alguém está sendo enganado nesta foto!""",Twitter for Android,0,0,
174,Luciano Sales,2022-11-11 00:36:00+00:00,@ciro_nogueira Rasga logo,Twitter for Android,0,0,"Teresina, Brasil"
175,Marcela Dantas❤️🇧🇷🙏🏼,2022-11-11 00:35:57+00:00,@ErikaMouraAlves @ciro_nogueira Exatamente!,Twitter for iPhone,0,0,"Belém, Brasil"
176,Fernandão Trader,2022-11-11 00:35:56+00:00,@ErikaMouraAlves @saritacoelho @ciro_nogueira Confesso que eu também. Um saco. Diz logo o que tá rolando. Que judia… https://t.co/ZCk84agNtB,Twitter for Android,0,0,"Recife, Brasil"
177,Fellipe Bonisem,2022-11-11 00:35:56+00:00,@ciro_nogueira Operou vendido?,Twitter for Android,0,0,"Vitória, Brasil"
178,Eu,2022-11-11 00:35:51+00:00,@mariaceipaula @ConstantinoEdu @parolin2013 @jeffersontltv @ciro_nogueira Claro q NUNCA! Eu penso!!,Twitter for iPhone,0,0,
179,Héctor Melo,2022-11-11 00:35:50+00:00,@ciro_nogueira EU SEI QUE O NOSSO PRESIDENTE NUNCA IRÁ NOS ABANDONAR!! EU SEI QUE ELE IRÁ AGIR!!  QUE DEUS SALVE A NOSSA NAÇÃO!!🇧🇷,Twitter for Android,0,0,
180,Yago Salim,2022-11-11 00:35:46+00:00,@ErikaMouraAlves @ciro_nogueira E os coitados cheios de esperança. Incrível.,Twitter for Android,0,0,"Belo Horizonte, Brasil"
181,Luciano Sales,2022-11-11 00:35:44+00:00,@ciro_nogueira Fala rapaz,Twitter for Android,0,0,"Teresina, Brasil"
182,Luis Manoel,2022-11-11 00:35:40+00:00,@ciro_nogueira Para com esse essas publicações vans,Twitter for Android,1,0,
183,Syl 🇧🇷,2022-11-11 00:35:31+00:00,@ciro_nogueira Conta tudo,Twitter for Android,0,0,Belo Horizonte
184,Chagas22🇧🇷👉👉🇧🇷🇧🇷🇧🇷,2022-11-11 00:35:25+00:00,@ciro_nogueira Ou fala a palavra toda ou cale-se,Twitter for Android,0,0,
185,cristiana oliveira,2022-11-11 00:35:23+00:00,@ciro_nogueira O senhor bem sorridente na “transição”…,Twitter for iPhone,0,0,
