,name,time,tweet,Source,Likes,RTs,Localization
91,murilo martins,2022-11-08 20:26:41+00:00,@simonetebetbr @LulaOficial @geraldoalckmin Simone tabet era uma coisa no 1º turno…. Já no 2º turno se abraçou com a corja! Vergonha!!,Twitter for iPhone,2,0,
92,DCCM,2022-11-08 20:23:31+00:00,@simonetebetbr @LulaOficial @geraldoalckmin Kakakakakakka e nao eh que foi prometido uma tetinha para ela mamar… ma… https://t.co/RcHkcm5PlI,Twitter for iPhone,1,0,Brasil
93,Caju noiado,2022-11-08 20:21:13+00:00,"@NaoInviabilize Nao posso ver, o tabet me bloqueou",Twitter for iPhone,2,0,
94,22 Isso mesmo!! Vote 22 🇧🇷🇧🇷,2022-11-08 20:16:21+00:00,@antoniotabet Faltou o Anta Tabet…,Twitter for iPhone,0,0,
95,Renata Pessoa ❤🆎️🦑,2022-11-08 19:50:30+00:00,Esse fio do Tabet tá de chorar de rir! https://t.co/8dSor9bvUe,Twitter for Android,0,0,Rio de Janeiro
96,daniele martini,2022-11-08 19:47:33+00:00,"@antoniotabet Fala a verdade, Tabet, são vocês que estão “trollando” os caras com essas fakes no Zap dos tios.",Twitter for iPhone,0,0,"Niterói, Brasil"
97,Elizeu Felix,2022-11-08 19:42:31+00:00,@antoniotabet Faltou o Paunocu Tabet.,Twitter Web App,0,0,
98,Juliana da Silveira,2022-11-08 19:39:10+00:00,"Esperando ansiosamente uma esquece sobre isso, numa colaboração entre Tebet, Tábata e Tabet! https://t.co/rd5ohdRhE0",Twitter for Android,1,0,Floripa
99,Cosme F. Santana,2022-11-08 19:25:24+00:00,@GloboNews @juliaduailibi Com o apoio de Alckmin e Tabet o Governo Federal vai ser uma dos melhores.,Twitter for Android,2,0,Brasil
100,Exstamagoshi,2022-11-08 19:21:41+00:00,@antoniotabet TA VIRANDO POETA ANTONIO TABET? Deixa pelo menos uma profissão pra noix kuakuakuak,Twitter for Android,0,0,"São José dos Campos, Brasil"
101,Paulo Costa,2022-11-08 19:11:52+00:00,"Entendi agora porque a Tabet mamou o Lula depois do primeiro turno, tinha vaga no ministério!!!!",Twitter for Android,0,0,
102,saito.art / commissions closed,2022-11-08 19:10:17+00:00,Nossa nunca fui tão burra tava boquiaberta achando que o Tabet era Bolsonarista https://t.co/QHql1ENH2o,Twitter for Android,1,0,"Belo Horizonte, Brasil"
103,Julim,2022-11-08 18:44:58+00:00,"@antoniotabet Tabet, faltou o mais famoso de todos os juristas, o Professor Tomás Turbando Bustamante que teve seu… https://t.co/KBfTikQRfG",Twitter for Android,85,1,"Christchurch City, New Zealand"
104,Moonchild,2022-11-08 18:30:26+00:00,tabet fez o favor de escalar toda a seleção conspiratória do nome zoado https://t.co/AMnSXOgdp4,Twitter Web App,0,0,"Fortaleza, Brasil"
105,NARA 03%⚛,2022-11-08 18:29:29+00:00,"@dennis_scherch @madeleinelacsko @77_frota Ou da simone tabet ou do danones ou do felipe neto - nossa, é uma fauna… https://t.co/mmoXLI6Qg6",Twitter for Android,4,0,Brasil
106,NARA 03%⚛,2022-11-08 18:26:49+00:00,"@madeleinelacsko Uau.. te adoro. 👏👏👏✌🤩 Nossa, ñ faltam exemplares dessa fauna tão vasta e diversa: danones, felipe… https://t.co/F29rSjhan6",Twitter for Android,2,1,Brasil
