,name,time,tweet,Localization;;
"94,1586183488537231361,,""Ciro,@cirogomes , votei no Bolsonaro,o Lula já era, se você apoia o Presidente agora, terá 80% de chance em 2026, O Lula nunca vai deixar apoia outro partido de centro esquerda, pensa um pouco👍"",";;
"95,1586183046046175232,,""Bolsonaro me surpreendendo 0%. Com o cool na mão e desesperado. Assim como fez no 1turno com Ciro, fez hj com Lula, citando pessoas q não estão presentes p se defender. Típico dele. Fraco, incompetente, desprovido de inteligência."",";;
96,1586181244060340225,,Única coisa que imagino assistindo esse debate é Ciro destruindo Bolsonaro ou Lula e eles sem condições de argumentar ou  acusar o Ciro de corrupção ou qualquer outro mal feito. Ciro iria esbagaçar esse dois merdas fácil.,;;
"97,1586180692966510592,,""#DebateNaGlobo: Pesquisa por algoritmo feita pela AtlasIntel: 48% dos eleitores de Simone aprovam Lula (17% Bolsonaro). Sinalizam para Lula 38% dos que não votaram em ninguém no primeiro turno (13% Bolsonaro). Dos eleitores de Ciro, 31% são Lula, 20% Bolsonaro https://t.co/0wFKqP1Klq"",";;
"98,1586180630303625217,,""Eu votei no Ciro, tava assistindo o debate pra me convencer em quem votar. Ô situação triste Brasil. Lula é ruim, mas Bolsonaro não dá não. Vou de Lula mesmo. ";;
"Cansei do debate, vou dormir. #DebateNaGlobo"",";;
99,1586180148566556674,,não dou conta do bolsonaro querendo apontar as companhias do Lula sendo que ele tem como ministro da casa civil ciro nogueira kkkkkkkkkkkk #DebateNaGlobo,;;
"100,1586179377347276800,,""a verdade msm é que o povo vota no lula, apenas pra """"tirar"""" o bolsonaro e esquecem oq o ele (L) fez que todo mundo viu e sabe.";;
;;
"se fosse ciro x lula ou simone x lula, aposto que teria mta gente contra o the nine."",";;
"101,1586179067535151105,,""Se Ciro estivesse no segundo turno ia botar o Bolsonaro pra mamar, Lula tá indo mais ou menos bem, mas tá bem meio a meio, Ciro destruía rapidamente o Bozo. #DebateNaGlobo"",";;
"102,1586178408077066240,,""Ciro avisou que Lula não tinha moral para rebater pancada do Bolsonaro. É foda ver o barba levando uma surra, mas já sabíamos. Se fosse Ciro, o Bolsonaro tava pianinho."",";;
"103,1586178344726716416,,""Meu amigo, bolsonaro não é opção de jeito nenhum, mas lula tá acabado demais. Despreparado e longe do político que já foi. Saudades Ciro"",";;
"104,1586177821940097026,,""Votei 12, Votei Ciro Gomes (clichê, eu sei) e não cheguei a contribuir com essa insanidade que é o debate entre Bolsonaro e Lula. Que Deus possa salvar o Brasil.";;
"#DebateNaGlobo"",";;
"105,1586176455863508992,,""Bolsonaro ganha neste momento pois a memória do povo é progressiva: é mais recente na cabeça desta geração o voo de galinha do governo Lula ou a crise do governo Dilma?";;
"Ciro avisou que Lula não conseguiria esconder a Dilma para sempre."",";;
"106,1586175395602501632,,""Jair Bolsonaro, fazendo perguntas para Lula, é meio que o Cabo Daciolo questionando o Ciro Gomes sobre a Ursal. #DebateNaGlobo"",";;
107,1586174974955761666,,Até o Bolsonaro apoiando o Lula e o Ciro calado. https://t.co/gS7eWEq4yL,;;
"108,1586173883069399040,,""o lula e o bolsonaro realmente n sabe debater kakakak, se botar o ciro acaba com os dois kakaka"",";;
109,1586173293589311488,,Simone Tebet e Ciro Gomes fariam um debate 100x melhor que Lula e Bolsonaro,;;
"110,1586172919650066434,,""Qualquer pessoa que faça simetria ou equivalência entre Lula e Bolsonaro não merece ser levada a sério. E isso vale pra Bolsonaro em comparação a Ciro Gomes, Simone Tebet, Alckmin ou qualquer outro"",";;
"111,1586172018285637632,,""O jurado que decide o que é verdadeiro e falso no debate só decide a favor de Lula e contra o presidente  Bolsonaro. Alguém aí  sabe se é o Janones que está na avaliação do direito de resposta?";;
;;
"Via @ciro_nogueira"",";;
"112,1586171409503784961,,""Bolsonaro desesperado fala que Lula é de organização criminosa, mas condecora milicianos como Adriano e policial que é suspeito de ter matado um inocente em Paraisópolis. Mentiu até sobre as inserções de rádio sendo abandonado até por Ciro Nogueira e Fábio Faria. Menti sem dó!"",";;
"113,1586171217647570944,,""Só imaginando aqui, o Ciro passaria o trator no Bolsonaro que ele ficaria sem rumo 🤔 mas já que ficou o Lula contra esse maldito, vou fazer a minha parte!"",";;
114,1586171131114954752,,Se a jovem pan é  do bolsonaro  a globo é  do lula pois só ele tem direito de fala. @fabiofaria @fabiowoficial @CarlosBolsonaro @ciro_nogueira,;;
"115,1586170723634221056,,""Tivemos as opções de Tebet e Ciro!";;
;;
